priority_score,section,content_type,route,name,risk_level,review_age_days,word_count,quality_status,quality_completion_score,issue_classifications,canonical_risk_type,recommended_action,recommended_canonical_url,duplicate_group_key,duplicate_group_size,canonical_confidence_score,missing_source_url,missing_required_fields,data_quality_flags,reasons
79,dog-parks,Dog Parks,/dog-parks/westvue-dog-park/,WestVue Dog Park,Very high,375,99,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 375 days; thin content 99 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/weyburn-community-dog-park/,Weyburn Community Dog Park,Very high,375,90,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 375 days; thin content 90 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/whitby-park-south/,Whitby Off Leash Dog Park South,Very high,377,89,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 377 days; thin content 89 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/wills-brook-park/,Wills Brook Park,Very high,375,86,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 375 days; thin content 86 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/yellowquill-provincial-park-off-leash-dog-area/,Yellowquill Provincial Park Off-Leash Dog Area,Very high,375,92,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 375 days; thin content 92 words; missing park fields: rules, reviewedOn"
77,dog-parks,Dog Parks,/dog-parks/aitken-place-park/,Aitken Place Park,Very high,404,104,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 404 days; thin content 104 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/ajax-waterfront-park/,Ajax Waterfront Park,Very high,377,88,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 377 days; thin content 88 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/alguire-park-cornwall/,Alguire Park,Very high,376,82,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 376 days; thin content 82 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/allan-gardens/,Allan Gardens,Very high,411,113,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 411 days; thin content 113 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/antigonish-dog-park/,Antigonish Dog Park,Very high,322,135,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 322 days; thin content 135 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/ardmore-park-service-dog-park/,Ardmore Park Service Dog Park,Very high,322,121,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 322 days; thin content 121 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/awenda-pet-beach-area/,Awenda Pet Beach Area,Very high,376,115,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 376 days; thin content 115 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/bakerview-park-surrey/,Bakerview Park,Very high,375,89,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 375 days; thin content 89 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/ballantyne-park/,Ballantyne Park,Very high,393,72,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 393 days; thin content 72 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/balmy-beach-park/,Balmy Beach Park,Very high,411,135,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 411 days; thin content 135 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/barbara-hall-park/,Barbara Hall Park,Very high,411,118,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 411 days; thin content 118 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/barkwood-forest/,Barkwood Forest,Very high,393,92,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 393 days; thin content 92 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/base-plein-air-de-sainte-foy-dog-park/,Base Plein-Air de Sainte-Foy Dog Park,Very high,372,148,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 372 days; thin content 148 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/bayview-arena-park/,Bayview Arena Park,Very high,404,108,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 404 days; thin content 108 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/bayview-drive/,Bayview Drive,Very high,385,101,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 385 days; thin content 101 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/bickford-park/,Bickford Park,Very high,404,114,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 404 days; thin content 114 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/bishops-park/,Bishop's Park,Very high,403,92,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 403 days; thin content 92 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/blackie-spit-surrey/,Blackie Spit,Very high,375,93,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 375 days; thin content 93 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/bob-hunter-park/,Bob Hunter Park,Very high,404,105,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 404 days; thin content 105 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/bonnycastle-park/,Bonnycastle Park,Very high,375,78,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 375 days; thin content 78 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/borers-falls-conservation-area/,Borer's Falls Conservation Area,Very high,403,105,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 403 days; thin content 105 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/botany-hill-park/,Botany Hill Park,Very high,404,96,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 404 days; thin content 96 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/brenda-leipsic-park/,Brenda Leipsic Park,Very high,375,86,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 375 days; thin content 86 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/brewer-park/,Brewer Park,Very high,393,85,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 393 days; thin content 85 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/broughton-east-park/,Broughton East Park,Very high,403,98,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 403 days; thin content 98 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/bruce-pit/,Bruce Pit,Very high,393,96,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 393 days; thin content 96 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/burgoyne-woods-park/,Burgoyne Woods Leash-Free Dog Park,Very high,412,175,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 412 days; thin content 175 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/caesars-off-leash-area/,Caesar’s Off-Leash Area,Very high,288,144,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 288 days; thin content 144 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/campbell-memorial-park-dog-off-leash-area/,Campbell Memorial Park Dog Off-Leash Area,Very high,288,157,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 288 days; thin content 157 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/canoe-landing-park/,Canoe Landing Park,Very high,404,99,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 404 days; thin content 99 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/captain-cornelius-park/,Captain Cornelius Park,Very high,403,107,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 403 days; thin content 107 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/carol-disher-park/,Carol Disher Park,Very high,412,165,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 412 days; thin content 165 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/cassels-avenue-playground/,Cassels Avenue Playground,Very high,411,170,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 411 days; thin content 170 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/cathy-lauritsen-memorial-off-leash-dog-park/,Cathy Lauritsen Memorial Off-Leash Dog Park,Very high,375,107,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 375 days; thin content 107 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/cedar-hedge-park-west/,Cedar Hedge Park West,Very high,403,118,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 403 days; thin content 118 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/cedarvale-park-halton-hills/,Cedarvale Park,Very high,403,121,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 403 days; thin content 121 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/cedarvale-park/,Cedarvale Park,Very high,404,112,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 404 days; thin content 112 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/charleston-lake-provincial-park/,Charleston Lake Provincial Park,Very high,376,93,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 376 days; thin content 93 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/cherry-beach-clarke-beach-park/,Cherry Beach/Clarke Beach Park,Very high,404,135,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 404 days; thin content 135 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/chevrier-park-cornwall/,Chevrier Park,Very high,376,102,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 376 days; thin content 102 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/chief-whitecap-park/,Chief Whitecap Park,Very high,375,83,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 375 days; thin content 83 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/chris-gibson-park/,Chris Gibson Park,Very high,393,87,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 393 days; thin content 87 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/churchill-park/,Churchill Park,Very high,403,102,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 403 days; thin content 102 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/clarence-square-park/,Clarence Square Park,Very high,404,99,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 404 days; thin content 99 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/colonel-danforth-park/,Colonel Danforth Park,Very high,404,92,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 404 days; thin content 92 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/colonel-samuel-smith-park-etobicoke/,Colonel Samuel Smith Park,Very high,393,71,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 393 days; thin content 71 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/colonel-samuel-smith-park/,Colonel Samuel Smith Park,Very high,404,111,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 404 days; thin content 111 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/community-common/,Community Common,Very high,413,128,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 413 days; thin content 128 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/conrose-park/,Conrose Park,Very high,322,149,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 322 days; thin content 149 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/conroy-pit/,Conroy Pit,Very high,393,84,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 393 days; thin content 84 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/corbetts-park/,Corbett's Park,Very high,385,80,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 385 days; thin content 80 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/cowan-sportsplex-dog-park/,Cowan Sportsplex,Very high,396,152,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 396 days; thin content 152 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/coxwell-ravine-park/,Coxwell Ravine Park,Very high,412,162,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 412 days; thin content 162 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/craigleigh-gardens/,Craigleigh Gardens,Very high,411,125,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 411 days; thin content 125 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/dartmouth-common/,Dartmouth Common,Very high,322,135,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 322 days; thin content 135 words; missing park fields: reviewedOn
77,dog-parks,Dog Parks,/dog-parks/david-bartlett-park/,David Bartlett Park,Very high,393,92,thin-content,95,needs-content-expansion; needs-human-review,,,,,,,no,reviewedOn,,stale 393 days; thin content 92 words; missing park fields: reviewedOn
