"collection","item_name","item_slug","field_name","original_webflow_url","current_local_filename","suggested_local_path","status","notes"
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/bernese-mountain-dog","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/boxer","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/newfoundland","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/australian-shepherd","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/border-collie","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/shetland-sheepdog","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/beagle","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/basset-hound","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/whippet","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/cavalier-king-charles-spaniel","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/havanese","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/maltese","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/goldendoodle","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/labradoodle","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/cavapoo","","/public/images/blogs/blog-best-family-dogs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Fresh Dog Food for Labrador Retrievers in Canada","best-fresh-dog-food-for-labrador-retrievers-in-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/69051f882cfd5e41d1b44ce9_labrador-fresh-dog-food-kitchen-canada.jpg","","/public/images/blogs/blog-best-fresh-dog-food-for-labrador-retrievers-in-canada-hero.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Fresh Dog Food for Labrador Retrievers in Canada","best-fresh-dog-food-for-labrador-retrievers-in-canada","Rich Text Body","https://www.nutricanine.ca/LeashFree","","/public/images/blogs/blog-best-fresh-dog-food-for-labrador-retrievers-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Fresh Dog Food for Labrador Retrievers in Canada","best-fresh-dog-food-for-labrador-retrievers-in-canada","Rich Text Body","https://www.nutricanine.ca/LeashFree</a></p><h3","","/public/images/blogs/blog-best-fresh-dog-food-for-labrador-retrievers-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
