"source","type","current_url_or_path","inferred_new_path","collection","slug","status","notes"
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/unique-dog-names.html","static-page","/unique-dog-names","/unique-dog-names/","","unique-dog-names","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/untitled.html","static-page","/untitled","/untitled/","","untitled","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Categories - 68bef5db17912168bc66d805.csv","cms-item","/directory/dog-breeds","/directory/dog-breeds/","Blog Categories","dog-breeds","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Categories - 68bef5db17912168bc66d805.csv","cms-item","/directory/dog-gear","/directory/dog-gear/","Blog Categories","dog-gear","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Categories - 68bef5db17912168bc66d805.csv","cms-item","/directory/dog-names","/directory/dog-names/","Blog Categories","dog-names","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Categories - 68bef5db17912168bc66d805.csv","cms-item","/directory/dog-parks","/directory/dog-parks/","Blog Categories","dog-parks","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Categories - 68bef5db17912168bc66d805.csv","cms-item","/directory/health-wellness","/directory/health-wellness/","Blog Categories","health-wellness","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Categories - 68bef5db17912168bc66d805.csv","cms-item","/directory/lifestyle-community","/directory/lifestyle-community/","Blog Categories","lifestyle-community","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Categories - 68bef5db17912168bc66d805.csv","cms-item","/directory/training-behavior","/directory/training-behavior/","Blog Categories","training-behavior","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/most-googled-dog-questions","/blog/most-googled-dog-questions/","Blog Posts","most-googled-dog-questions","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/average-vet-costs-in-canada","/blog/average-vet-costs-in-canada/","Blog Posts","average-vet-costs-in-canada","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/best-dog-leashes-for-hiking-in-canada","/blog/best-dog-leashes-for-hiking-in-canada/","Blog Posts","best-dog-leashes-for-hiking-in-canada","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/best-dogs-for-apartment-living-in-canada","/blog/best-dogs-for-apartment-living-in-canada/","Blog Posts","best-dogs-for-apartment-living-in-canada","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/best-family-dogs-in-canada","/blog/best-family-dogs-in-canada/","Blog Posts","best-family-dogs-in-canada","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/best-fresh-dog-food-for-labrador-retrievers-in-canada","/blog/best-fresh-dog-food-for-labrador-retrievers-in-canada/","Blog Posts","best-fresh-dog-food-for-labrador-retrievers-in-canada","inferred","Generated from CMS slug; verify against live Webflow URLs."
