"collection","item_name","item_slug","field_name","original_webflow_url","expected_filename","public_path","status","notes"
"Dog Parks","Deer Ridge Park","deer-ridge-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683b1d7300277777e67f1034_deer-ridge-off-leash-area-calgary-leash-free-dog-park.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Devonian Harbour","devonian-harbour-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfcb959daf711b63b8f2_spacious-dog-park-with-trees-and-grass.jpg.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Dusty Greenwell Park","dusty-greenwell-dog-park-vancouver","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf9fe489f2f6a3b7d375_dog-park-open-space-with-dog-on-grass.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Edworthy Park","edworthy-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a5cabcca84f4da818e8d3_Edworthy%20Park.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Emery Barnes","emery-barnes-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfb0649f9ed0a87de7c1_dog-park-daytime-with-dog-and-grassy-field.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Etobicoke Valley Dog Park","etobicoke-valley-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840a03860a5f67a96d91b4e_Etobicoke%20Valley%20Dog%20Park.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Everett Crowley","everett-crowley-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf6da378932f0d55bef8_border-collie-in-open-grassy-dog-park.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Falaise Park","falaise-park-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfe87efc310352d3b1de_golden-retriever-in-dog-park-open-field.jpg.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Falaise Park","falaise-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf9fe489f2f6a3b7d375_dog-park-open-space-with-dog-on-grass.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Falaise Park","falaise-dog-park-vancouver","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf8248d43e4eb440ee42_golden-retriever-in-forest-edge-dog-park.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Fraser River Park","fraser-river-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfb0649f9ed0a87de7c1_dog-park-daytime-with-dog-and-grassy-field.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Fraserview Golf Course","fraserview-golf-course-vancouver","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfb0649f9ed0a87de7c1_dog-park-daytime-with-dog-and-grassy-field.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Garnetwood Park","garnetwood-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840b38a22145b4d4d0b563f_Garnetwood%20Park.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","George Park","george-dog-park-vancouver","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf905e0c4fbbb9bdd02a_dog-park-pathway-with-dog-and-trees.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Gerrard - Carlaw Parkette","gerrard-carlaw-parkette","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68432da8127fac1916644dbc_Parkland%20at%20Gerrard%20-%20Carlaw%20Parkette.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Glenashton Park","glenashton-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/684045e99232f0bf0d68412f_glenashton-park.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Hadden Park","hadden-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfcb959daf711b63b8f2_spacious-dog-park-with-trees-and-grass.jpg.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Hidden Valley Park","hidden-valley-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a035efa039308d622d1c1_Hidden%20Valley%20Park%20%E2%80%93%20Leash-Free%20Dog%20Area.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Hinge Park (Southeast False Creek)","hinge-park-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf8248d43e4eb440ee42_golden-retriever-in-forest-edge-dog-park.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Jack Darling Park","jack-darling-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840b47548f617dd5169f00b_Jack%20Darling%20Memorial%20Dog%20Park.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","John Hendry","john-hendry-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfe87efc310352d3b1de_golden-retriever-in-dog-park-open-field.jpg.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Jones Park","jones-dog-park-vancouver","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf6da378932f0d55bef8_border-collie-in-open-grassy-dog-park.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Killarney Park","killarney-park-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf8248d43e4eb440ee42_golden-retriever-in-forest-edge-dog-park.png","","","missing","No source media file matched this tracker row."
"Dog Parks","King Road","king-road","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/684096b18e8413c507ae722d_King%20Road%20Leash-Free%20Dog%20Park.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Kingcrest Park","kingcrest-dog-park-vancouver","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfe87efc310352d3b1de_golden-retriever-in-dog-park-open-field.jpg.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Kingsford Gardens","kingsford-gardens","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840599c74e4cc86ef8305ff_Kingsford%20Gardens%20(Leash-Free%20Dog%20Area","","","missing","No source media file matched this tracker row."
"Dog Parks","Lake Bonavista Off-Leash Area","lake-bonavista","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683b1b8891ec2f6888a679d6_lake-bonavista-off-leash-area-calgary-leash-free-dog-park.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Legacy Park","legacy-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683b1cf499d4134a28d42944_legacy-off-leash-area-calgary-leash-free-dog-park.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Linkwood Lane Park","linkwood-lane-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6841f1f136731e2cd913c20a_Linkwood%20Lane%20Park%20(Leash-Free%20Dog%20Area","","","missing","No source media file matched this tracker row."
"Dog Parks","Locarno Beach Park","locarno-beach-dog-park-vancouver","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfdbc135317971c008bc_dog-park-urban-setting-with-people-and-dogs.jpg.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Mattamy Sports Park","mattamy-sports-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840b0e999bdaee7108faf58_Mattamy%20Sports%20Park%27s%20.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Memorial Park","memorial-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68405b6ebe714937906fc5bf_Memorial%20Park.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Merrill Bridge Road Park","merrill-bridge-road-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6842da39f643bafba72e5f9b_Dogs%20off-leash%20area%20at%20Merrill%20Bridge%20Road%20Park.jpg","","","missing","No source media file matched this tracker row."
