"filename","current_source_path","file_type","size_bytes","possible_match","reason","status","notes"
"68bc92d678c78b37e581360c_mastiff-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bc92d678c78b37e581360c_mastiff-puppy-dog-names-hero.jpg",".jpg","65432","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bedc5dfac4c3dd0482c4e3_saint-bernard-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bedc5dfac4c3dd0482c4e3_saint-bernard-puppy-dog-names-hero.jpg",".jpg","62501","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bee4b44a0ec48dbb96acc2_newfoundland-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bee4b44a0ec48dbb96acc2_newfoundland-puppy-dog-names-hero.jpg",".jpg","57833","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bef84a071bc039505c4fdd_Wide shot of dogs running in a fenced park (2880x1488).avif","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bef84a071bc039505c4fdd_Wide shot of dogs running in a fenced park (2880x1488).avif",".avif","118561","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bf0830fc36f27098a4aaa8_Cute puppy with name tag (2880x1488).avif","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bf0830fc36f27098a4aaa8_Cute puppy with name tag (2880x1488).avif",".avif","31763","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bf0cbbc7c5626a9d251a54_Dog with Canadian flag bandana at park (2880x1488) (2).avif","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bf0cbbc7c5626a9d251a54_Dog with Canadian flag bandana at park (2880x1488) (2).avif",".avif","31110","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68e19aa0bc5790b754298498_bernedoodle-puppy-dog-names-hero.png","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68e19aa0bc5790b754298498_bernedoodle-puppy-dog-names-hero.png",".png","2419947","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"6901311f4248c664eb3b2974_labradoodle-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/6901311f4248c664eb3b2974_labradoodle-puppy-dog-names-hero.jpg",".jpg","56878","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"69021bb51176943b3b01aa5d_cocker-spaniel-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/69021bb51176943b3b01aa5d_cocker-spaniel-puppy-dog-names-hero.jpg",".jpg","56028","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"69022227d80e2e557797b32a_cane-corso-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/69022227d80e2e557797b32a_cane-corso-puppy-dog-names-hero.jpg",".jpg","56152","","No tracker row matched this local file.","unmatched","Review manually before publishing."
